What is the Ref Name of person entering the data, Example:"T. Jesper Jacobsson"
What is the Ref Data entered by author? Format of answer: [TRUE/FALSE], Example:"True"
What is the Ref DOI number, Example:"10.1039/C6EE00030D"
What is the Ref Lead author, Example:"Jacobsson et al."
What is the Ref Publication date? Format of answer: [year:mm:dd], Example:"1900-03-24 02:03:14"
What is the Ref Free text comment (max 280 characters), Example:"Simple example device (to be deleated)"
What is the Ref Internal sample ID? Format of answer: [free text], Example:"JJ 3051 cell 2"
What is the Cell Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au"
What is the Cell Area Total? Format of answer: [cm^2], Example:"0.25"
What is the Cell Area Measured? Format of answer: [cm^2], Example:"0.16"
What is the Cell Number of cells per substrate, Example:"3"
What is the Cell Architecture? Format of answer: [nip/pin/ …], Example:"nip"
What is the Cell Flexible? Format of answer: [TRUE/FALSE], Example:"False"
What is the Cell Flexible Minimum bending radius? Format of answer: [cm]
What is the Cell Semitransparent? Format of answer: [TRUE/FALSE], Example:"False"
What is the Cell Semitransparent Average visible transmittance? Format of answer: [%]
What is the Cell Semitransparent Average visible transmittance Wavelength range? Format of answer: [lambda_min; lambda_max]
What is the Cell Semitransparent Transmittance Link Raw data, Example:"www.testsite…"
What is the Module? Format of answer: [TRUE/FALSE], Example:"False"
What is the Module Number of cells in module, Example:"False"
What is the Module Area Total? Format of answer: [cm^2]], Example:"0.25"
What is the Module Area Effective? Format of answer: [cm^2], Example:"0.16"
What is the Module JV data recalculated per cell? Format of answer: [TRUE/FALSE], Example:"False"
What is the Substrate Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"SLG | FTO"
What is the Substrate Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:"2 | 0.1"
What is the Substrate Area? Format of answer: [cm^2], Example:"2.4"
What is the Substrate Supplier, Example:"NGO"
What is the Substrate Brand name, Example:"NGO11"
What is the Substrate Deposition procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:"Commercial | Commercial"
What is the Substrate Surface roughness Rms? Format of answer: [nm]
What is the Substrate Etching procedure, Example:"Zn-powder; HCl >> Mecanical scrubbing"
What is the Substrate Cleaning procedure, Example:"Helmanex >> Ultrasonic bath >> Ethanol;  Ultrasonic bath >> Acetone; Ultrasonic bath >> UV-ozone"
What is the ETL Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"TiO2-c | TiO2-mp"
What is the ETL Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:"50 |150"
What is the ETL Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:"Undoped | Li-TFSI"
What is the ETL Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ], Example:"nan | 100 mg/ml"
