qid,protocol_question,field_name,gpt_question,example_answer,tokens_per_answer,tokens_per_questions,question_type,is_kpi_field,question_score
0,Ref. Name of person entering the data,Ref_name_of_person_entering_the_data,"What is the Ref Name of person entering the data, Example:""T. Jesper Jacobsson""",T. Jesper Jacobsson,5.1,20,string,True,
1,Ref. Data entered by author [TRUE/FALSE],Ref_data_entered_by_author,"What is the Ref Data entered by author? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,22,boolean,True,
2,Ref. DOI number,Ref_DOI_number,"What is the Ref DOI number, Example:""10.1039/C6EE00030D""",10.1039/C6EE00030D,11.7,20,string,True,
3,Ref. Lead author,Ref_lead_author,"What is the Ref Lead author, Example:""Jacobsson et al.""",Jacobsson et al.,5.1,14,string,True,
4,Ref. Publication date [year:mm:dd],Ref_publication_date,"What is the Ref Publication date? Format of answer: [year:mm:dd], Example:""1900-03-24 02:03:14""",1900-03-24 02:03:14,6.0,32,date,True,
5,Ref. Free text comment (max 280 characters),,"What is the Ref Free text comment (max 280 characters), Example:""Simple example device (to be deleated)""",Simple example device (to be deleated),,24,string,False,
6,Ref. Internal sample ID [free text],,"What is the Ref Internal sample ID? Format of answer: [free text], Example:""JJ 3051 cell 2""",JJ 3051 cell 2,,26,string,False,
7,Cell. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Cell_stack_sequence,"What is the Cell Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au""",SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,26.4,62,string_seq,True,3.5
8,Cell. Area. Total [cm^2],,"What is the Cell Area Total? Format of answer: [cm^2], Example:""0.25""",0.25,,22,float,False,
9,Cell. Area. Measured [cm^2],Cell_area_measured,"What is the Cell Area Measured? Format of answer: [cm^2], Example:""0.16""",0.16,3.0,23,float,True,5.0
10,Cell. Number of cells per substrate,Cell_number_of_cells_per_substrate,"What is the Cell Number of cells per substrate, Example:""3""",3,3.0,14,int,True,1.0
11,Cell. Architecture [nip/pin/ …],Cell_architecture,"What is the Cell Architecture? Format of answer: [nip/pin/ …], Example:""nip""",nip,1.0,21,string,True,3.0
12,Cell. Flexible [TRUE/FALSE],Cell_flexible,"What is the Cell Flexible? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,19,boolean,True,3.5
13,Cell. Flexible. Minimum bending radius [cm],,What is the Cell Flexible Minimum bending radius? Format of answer: [cm],,,16,string,False,
14,Cell. Semitransparent [TRUE/FALSE],Cell_semitransparent,"What is the Cell Semitransparent? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,22,boolean,True,2.5
15,Cell. Semitransparent. Average visible transmittance [%],,What is the Cell Semitransparent Average visible transmittance? Format of answer: [%],,,20,string,False,
16,Cell. Semitransparent. Average visible transmittance. Wavelength range [lambda_min; lambda_max],Cell_semitransparent_wavelength_range,What is the Cell Semitransparent Average visible transmittance Wavelength range? Format of answer: [lambda_min; lambda_max],,3.0,28,string,True,2.0
17,Cell. Semitransparent. Transmittance. Link. Raw data,,"What is the Cell Semitransparent Transmittance Link Raw data, Example:""www.testsite…""",www.testsite…,,21,string,False,
18,Module [TRUE/FALSE],Module,"What is the Module? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,18,boolean,True,3.5
19,Module. Number of cells in module,Module_number_of_cells_in_module,"What is the Module Number of cells in module, Example:""False""",False,3.0,14,boolean,True,3.0
20,Module. Area. Total [cm^2] ,,"What is the Module Area Total? Format of answer: [cm^2]], Example:""0.25""",0.25,,22,float,False,
21,Module. Area. Effective [cm^2],,"What is the Module Area Effective? Format of answer: [cm^2], Example:""0.16""",0.16,,22,float,False,
22,Module. JV data recalculated per cell [TRUE/FALSE],Module_JV_data_recalculated_per_cell,"What is the Module JV data recalculated per cell? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,24,boolean,True,2.0
23,Substrate. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Substrate_stack_sequence,"What is the Substrate Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""SLG | FTO""",SLG | FTO,5.0,38,string_seq,True,2.0
24,Substrate. Thickness [Th.1 | Th.2 | … | Th.n ] [mm],,"What is the Substrate Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:""2 | 0.1""",2 | 0.1,,32,int_seq,False,
25,Substrate. Area [cm^2],,"What is the Substrate Area? Format of answer: [cm^2], Example:""2.4""",2.4,,22,float,False,
26,Substrate. Supplier,,"What is the Substrate Supplier, Example:""NGO""",NGO,,12,string,False,
27,Substrate. Brand name,,"What is the Substrate Brand name, Example:""NGO11""",NGO11,,14,string,False,
28,Substrate. Deposition procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],,"What is the Substrate Deposition procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:""Commercial | Commercial""",Commercial | Commercial,,42,string_seq,False,
29,Substrate. Surface roughness. Rms [nm],,What is the Substrate Surface roughness Rms? Format of answer: [nm],,,18,string,False,
30,Substrate. Etching procedure,,"What is the Substrate Etching procedure, Example:""Zn-powder; HCl >> Mecanical scrubbing""",Zn-powder; HCl >> Mecanical scrubbing,,26,string,False,
31,Substrate. Cleaning procedure,,"What is the Substrate Cleaning procedure, Example:""Helmanex >> Ultrasonic bath >> Ethanol;  Ultrasonic bath >> Acetone; Ultrasonic bath >> UV-ozone""",Helmanex >> Ultrasonic bath >> Ethanol;  Ultrasonic bath >> Acetone; Ultrasonic bath >> UV-ozone,,38,string,False,
32,ETL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],ETL_stack_sequence,"What is the ETL Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""TiO2-c | TiO2-mp""",TiO2-c | TiO2-mp,7.4,43,string_seq,True,2.5
33,ETL. Thickness [Th.1 | Th.2 | … | Th.n ] [nm],,"What is the ETL Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:""50 |150""",50 |150,,29,int_seq,False,
34,ETL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,"What is the ETL Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:""Undoped | Li-TFSI""",Undoped | Li-TFSI,,47,string_seq,False,
35,ETL. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,"What is the ETL Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ], Example:""nan | 100 mg/ml""",nan | 100 mg/ml,,47,string_seq,False,
36,ETL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],ETL_deposition_procedure,"What is the ETL Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:""Spray-pyrolys | Spin-coating >> Spin-coating""",Spray-pyrolys | Spin-coating >> Spin-coating,5.7,52,string_seq,True,3.5
37,ETL. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,"What is the ETL Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:""Liquid | Liquid""",Liquid | Liquid,,54,string_seq,False,
38,ETL. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the ETL Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Air; O2 | Air""",Air; O2 | Air,,48,string_seq,False,
39,ETL. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the ETL Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:""1 atm | 1 atm""",1 atm | 1 atm,,45,string_seq,False,
40,ETL. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the ETL Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:""1 atm; 1 bar | 1 atm""",1 atm; 1 bar | 1 atm,,52,string_seq,False,
41,ETL. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,"What is the ETL Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:""35 | 35""",35 | 35,,43,int_seq,False,
42,ETL. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],,"What is the ETL Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:""Acetonitil; Acetyl aceton; IPA | Ethanol >> Acetonitrile""",Acetonitil; Acetyl aceton; IPA | Ethanol >> Acetonitrile,,60,string_seq,False,
43,ETL. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,"What is the ETL Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:""9:0.4:0.6 | 1 >> 1""",9:0.4:0.6 | 1 >> 1,,62,string_seq,False,
44,ETL. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the ETL Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Sigma Aldrich; Sigma Aldrich; Fisher | Sigma Aldrich >> Acros""",Sigma Aldrich; Sigma Aldrich; Fisher | Sigma Aldrich >> Acros,,58,string_seq,False,
